,ROLL NO.,MCS401,M401,CS401,CS402,CS403,HU481,M(CS)491 /MCS491,CS491,CS492,CS493,SGPA3,SGPA4,YGPA,RESULT
,11500115127,D ( 10 ),D ( 20 ),D ( 15 ),F ( 8 ),F ( 8 ),C ( 12 ),B ( 7 ),C ( 12 ),A ( 16 ),A ( 16 ),4.76,4.77,4.76,XP
,11500115128,B ( 14 ),D ( 20 ),C ( 18 ),D ( 20 ),F ( 8 ),C ( 12 ),A ( 8 ),C ( 12 ),C ( 12 ),A ( 16 ),5.86,5.38,5.64,XP
,11500115129,A ( 16 ),D ( 20 ),E ( 27 ),B ( 28 ),B ( 28 ),F ( 4 ),E ( 9 ),B ( 14 ),A ( 16 ),E ( 18 ),6.86,6.92,6.89,XP
,11500115130,B ( 14 ),D ( 20 ),B ( 21 ),F ( 8 ),D ( 20 ),D ( 10 ),E ( 9 ),B ( 14 ),A ( 16 ),E ( 18 ),5.1,5.77,5.42,XP
,11500115131,D ( 10 ),F ( 8 ),D ( 15 ),D ( 20 ),D ( 20 ),C ( 12 ),A ( 8 ),B ( 14 ),A ( 16 ),A ( 16 ),4.69,5.35,5,XP
,11500115132,F ( 4 ),F ( 8 ),D ( 15 ),F ( 8 ),F ( 8 ),D ( 10 ),B ( 7 ),B ( 14 ),C ( 12 ),A ( 16 ),3.86,3.92,3.89,XP
,11500115133,C ( 12 ),F ( 8 ),F ( 6 ),F ( 8 ),F ( 8 ),D ( 10 ),B ( 7 ),B ( 14 ),E ( 18 ),A ( 16 ),4.66,4.12,4.4,XP
,11500115134,C ( 12 ),F ( 8 ),C ( 18 ),F ( 8 ),F ( 8 ),B ( 14 ),B ( 7 ),C ( 12 ),C ( 12 ),A ( 16 ),5,4.42,4.73,XP
,11500115135,C ( 12 ),F ( 8 ),B ( 21 ),C ( 24 ),C ( 24 ),A ( 16 ),E ( 9 ),A ( 16 ),E ( 18 ),E ( 18 ),6.03,6.38,6.2,XP
,11500115136,F ( 4 ),F ( 8 ),F ( 6 ),D ( 20 ),D ( 20 ),D ( 10 ),A ( 8 ),B ( 14 ),B ( 14 ),A ( 16 ),4.52,4.62,4.56,XP
,11500115137,F ( 4 ),I ( 8 ),I ( 6 ),I ( 8 ),I ( 8 ),I ( 4 ),I ( 2 ),I ( 4 ),I ( 4 ),I ( 4 ),3.24,2,2.65,XP
,11500214014,A ( 16 ),B ( 28 ),A ( 24 ),A ( 32 ),A ( 32 ),E ( 18 ),E ( 9 ),E ( 18 ),E ( 18 ),O ( 20 ),8.72,8.27,8.51,P
,11500214029,E ( 18 ),A ( 32 ),B ( 21 ),E ( 36 ),A ( 32 ),E ( 18 ),O ( 10 ),O ( 20 ),O ( 20 ),O ( 20 ),8.9,8.73,8.82,P
,11500214039,A ( 16 ),B ( 28 ),B ( 21 ),C ( 24 ),B ( 28 ),A ( 16 ),O ( 10 ),E ( 18 ),O ( 20 ),E ( 18 ),8.07,7.65,7.87,P
,11500314097,E ( 18 ),A ( 32 ),E ( 27 ),B ( 28 ),A ( 32 ),E ( 18 ),O ( 10 ),O ( 20 ),O ( 20 ),O ( 20 ),8,8.65,8.31,P
